#,sales_date,transaction_total,spam
1,2011-10-18 19:03:48,1408.95,True
2,2023-10-15 19:49:36,1349.41,True
3,2024-01-20 13:18:29,604.29,False
4,2018-03-26 17:15:43,690.99,True
5,2019-08-11 06:46:06,1094.86,True
6,2012-07-21 06:01:25,271.43,True
7,2020-03-13 05:12:20,1737.71,True
8,2022-07-17 17:50:54,1049.24,True
9,2023-01-25 00:03:05,1806.43,True
10,2010-07-20 02:58:39,1592.05,True
11,2020-08-17 15:48:15,579.25,True
12,2013-10-06 09:01:08,1071.74,True
13,2014-02-09 14:26:09,709.04,True
14,2016-06-13 16:36:50,169.27,True
15,2023-12-20 05:11:26,1112.43,True
16,2014-01-18 15:44:22,350.5,True
17,2011-10-04 10:19:26,482.59,True
18,2017-07-23 15:06:45,1364.78,True
19,2011-03-27 07:18:47,1855.44,True
20,2014-05-15 14:06:46,775.31,True
21,2012-02-19 17:24:49,1705.54,True
22,2012-06-10 13:05:55,920.04,True
23,2013-06-29 07:30:44,710.82,True
24,2020-05-10 00:52:37,1176.28,True
25,2010-12-23 14:59:27,1152.93,True
26,2012-08-04 19:53:14,675.32,True
27,2016-05-26 15:01:30,960.2,True
28,2015-01-21 10:17:34,1366.62,True
29,2015-10-01 07:02:35,806.93,True
30,2011-02-10 21:26:55,280.71,True
31,2021-05-20 18:32:40,1042.2,True
32,2016-01-08 10:43:52,761.61,True
33,2016-03-10 20:59:51,1372.21,True
34,2016-10-13 00:13:19,188.15,True
35,2011-09-14 17:09:17,338.97,True
36,2017-11-12 06:48:11,313.95,False
37,2015-05-01 13:53:25,1728.46,True
38,2023-05-19 05:54:32,386.73,True
39,2020-08-14 01:19:24,1424.53,True
40,2021-02-10 09:06:10,1422.39,True
41,2013-08-23 11:53:43,1316.42,True
42,2020-07-15 16:05:32,1624.97,True
43,2011-11-17 12:32:46,21.63,True
44,2014-11-30 20:10:30,1547.37,True
45,2015-07-23 07:53:48,1958.7,True
46,2016-04-23 05:51:11,1934.86,True
47,2020-05-01 02:49:24,87.99,True
48,2016-08-21 20:56:35,246.89,True
49,2011-07-03 22:14:57,1676.77,True
50,2012-09-26 15:38:17,475.99,True
51,2016-10-24 15:15:58,388.25,True
52,2017-09-16 06:37:39,341.12,True
53,2021-11-24 05:36:27,1365.08,True
54,2021-02-04 16:18:54,1205.39,True
55,2021-04-11 03:34:57,618.64,True
56,2021-07-11 23:44:47,1925.54,True
57,2023-12-07 16:56:24,891.12,True
58,2014-05-08 09:09:15,462.75,True
59,2014-02-10 01:14:31,1767.65,True
60,2013-08-15 17:31:01,1732.39,True
61,2012-03-08 20:00:49,1211.03,True
62,2017-10-25 23:29:26,136.85,True
63,2014-11-08 09:36:56,101.84,True
64,2023-11-25 05:35:55,11.51,False
65,2022-02-25 13:24:03,1586.84,True
66,2022-12-08 02:18:05,1734.16,True
67,2016-10-20 17:54:17,1211.66,True
68,2020-12-01 08:05:36,1397.8,True
69,2021-10-29 06:09:55,1083.38,True
70,2013-11-03 18:34:27,664.01,True
71,2010-11-04 23:46:29,2.76,True
72,2011-11-20 19:01:53,369.64,True
73,2016-06-12 03:01:23,1364.01,True
74,2021-01-16 11:44:03,1763.24,True
75,2018-05-18 07:44:16,237.91,True
76,2018-03-05 07:03:29,1302.65,True
77,2018-06-19 22:08:52,1538.44,True
78,2021-03-18 18:23:10,1380.58,True
79,2018-02-03 03:50:41,1225.61,False
80,2023-08-05 07:39:24,505.81,True
81,2022-10-10 08:52:55,79.29,True
82,2023-04-28 14:12:56,811.2,False
83,2020-01-09 11:08:19,858.66,True
84,2023-06-30 21:46:47,1583.97,True
85,2015-12-19 08:53:04,208.23,True
86,2022-01-08 00:04:04,571.97,True
87,2019-07-18 07:08:07,1006.13,True
88,2015-10-16 12:39:31,1224.55,True
89,2017-08-14 16:25:35,1997.92,True
90,2019-08-16 10:06:25,205.93,True
91,2016-09-14 10:37:57,1382.67,True
92,2013-05-19 05:55:07,375.46,True
93,2017-05-11 06:50:52,1764.2,True
94,2020-10-21 15:30:41,1278.93,True
95,2016-11-12 20:52:00,1017.61,True
96,2014-06-13 11:05:13,1032.2,True
97,2020-05-18 03:04:50,570.4,True
98,2015-08-06 20:10:25,90.53,True
99,2018-04-10 10:16:21,252.75,True
100,2019-06-09 19:06:42,1912.15,True
101,2015-06-11 14:56:51,317.22,True
102,2014-08-12 00:13:07,951.25,True
103,2016-05-04 04:05:37,532.53,True
104,2017-01-15 05:21:50,1472.99,True
105,2011-05-18 18:22:51,935.31,True
106,2022-09-04 15:55:09,787.73,True
107,2012-02-01 11:48:33,764.42,True
108,2011-10-27 00:58:36,691.02,True
109,2021-08-08 16:17:28,1877.73,True
110,2022-05-31 02:42:19,112.62,True
111,2012-01-22 19:41:21,1179.92,True
112,2020-01-12 22:36:48,935.87,True
113,2014-03-23 15:37:50,1336.76,True
114,2013-08-16 12:47:19,1606.35,True
115,2014-01-16 13:42:28,1832.6,True
116,2017-10-12 07:37:19,1299.53,True
117,2021-04-03 03:55:37,542.11,True
118,2016-03-25 18:39:56,1601.63,True
119,2022-06-17 13:00:05,22.93,True
120,2019-10-12 04:00:01,818.96,True
121,2010-02-04 14:03:35,579.29,True
122,2013-05-27 10:33:58,1686.54,True
123,2011-07-15 22:16:29,968.73,True
124,2017-02-13 00:32:48,1065.41,True
125,2011-05-14 01:00:08,1927.47,True
126,2014-03-18 21:09:32,1885.76,True
